,Multiple_Board,BOARD 1,BOARD 2,BOARD 3,BOARD 4
451 nm,38,100,100,100,100
500 nm,52,100,100,100,100
525 nm,63,100,100,100,100
550 nm,50,100,100,100,100
620 nm,33,100,100,100,100
660 nm,25,100,100,100,100
740 nm,40,100,100,100,100
850 nm,100,100,100,100,100
